game_id,condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,ai,Claude Opus vs GPT-4o,1,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2131.0,0.6,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",747.1,0.6,v2.3,2026-06-01T13:58:22.589800
1,ai,Claude Opus vs GPT-4o,2,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.35,10,20,"{""belief"": 0.35, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1716.8,0.6,GPT-4o,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",679.7,0.6,v2.3,2026-06-01T13:58:24.987495
1,ai,Claude Opus vs GPT-4o,3,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.25,10,30,"{""belief"": 0.25, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1258.6,0.6,GPT-4o,10,0.5,10,30,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",781.4,0.6,v2.3,2026-06-01T13:58:27.028616
1,ai,Claude Opus vs GPT-4o,4,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.2,10,40,"{""belief"": 0.20, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1782.4,0.6,GPT-4o,10,0.5,10,40,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",762.1,0.6,v2.3,2026-06-01T13:58:29.575931
1,ai,Claude Opus vs GPT-4o,5,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,50,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1752.3,0.6,GPT-4o,10,0.5,10,50,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",688.7,0.6,v2.3,2026-06-01T13:58:32.019400
1,ai,Claude Opus vs GPT-4o,6,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,60,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1880.4,0.6,GPT-4o,10,0.5,10,60,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",568.2,0.6,v2.3,2026-06-01T13:58:34.471848
1,ai,Claude Opus vs GPT-4o,7,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,70,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1550.0,0.6,GPT-4o,10,0.5,10,70,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",702.0,0.6,v2.3,2026-06-01T13:58:36.725325
1,ai,Claude Opus vs GPT-4o,8,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,80,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1690.9,0.6,GPT-4o,10,0.5,10,80,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",659.5,0.6,v2.3,2026-06-01T13:58:39.077617
1,ai,Claude Opus vs GPT-4o,9,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,90,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1660.3,0.6,GPT-4o,10,0.5,10,90,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2041.1,0.6,v2.3,2026-06-01T13:58:42.781639
1,ai,Claude Opus vs GPT-4o,10,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,100,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1925.4,0.6,GPT-4o,10,0.5,10,100,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",615.5,0.6,v2.3,2026-06-01T13:58:45.325652
1,ai,Claude Opus vs GPT-4o,11,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,110,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1708.4,0.6,GPT-4o,10,0.5,10,110,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",583.4,0.6,v2.3,2026-06-01T13:58:47.620089
1,ai,Claude Opus vs GPT-4o,12,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,120,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1797.7,0.6,GPT-4o,10,0.5,10,120,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",612.7,0.6,v2.3,2026-06-01T13:58:50.033075
1,ai,Claude Opus vs GPT-4o,13,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,130,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1744.4,0.6,GPT-4o,10,0.5,10,130,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",642.8,0.6,v2.3,2026-06-01T13:58:52.422873
1,ai,Claude Opus vs GPT-4o,14,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,140,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2011.6,0.6,GPT-4o,10,0.5,10,140,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",820.8,0.6,v2.3,2026-06-01T13:58:55.258106
1,ai,Claude Opus vs GPT-4o,15,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,150,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1746.2,0.6,GPT-4o,10,0.5,10,150,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",674.1,0.6,v2.3,2026-06-01T13:58:57.681024
1,ai,Claude Opus vs GPT-4o,16,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,160,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1841.2,0.6,GPT-4o,10,0.5,10,160,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",12014.2,0.6,v2.3,2026-06-01T13:59:11.539037
1,ai,Claude Opus vs GPT-4o,17,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,170,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2044.1,0.6,GPT-4o,10,0.5,10,170,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",819.1,0.6,v2.3,2026-06-01T13:59:14.405209
1,ai,Claude Opus vs GPT-4o,18,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,180,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",4622.7,0.6,GPT-4o,10,0.5,10,180,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",702.1,0.6,v2.3,2026-06-01T13:59:19.732350
1,ai,Claude Opus vs GPT-4o,19,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,190,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1741.1,0.6,GPT-4o,10,0.5,10,190,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",736.0,0.6,v2.3,2026-06-01T13:59:22.212240
1,ai,Claude Opus vs GPT-4o,20,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,200,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1903.7,0.6,GPT-4o,10,0.5,10,200,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",734.6,0.6,v2.3,2026-06-01T13:59:24.851751
2,ai,Claude Opus vs Gemini 2.5 Flash,1,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1195.2,0.6,Gemini 2.5 Flash,10,0.6,10,10,"```json
{
  ""belief"": 0.60,
  ""extraction"": 10
}
```","{""prompt"": 0, ""completion"": 0}",5971.6,0.6,v2.3,2026-06-01T13:59:32.021065
2,ai,Claude Opus vs Gemini 2.5 Flash,2,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.35,10,20,"{""belief"": 0.35, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1680.9,0.6,Gemini 2.5 Flash,10,0.3,10,20,"```json
{
  ""belief"": 0.30,
  ""extraction"": 10
}
```","{""prompt"": 0, ""completion"": 0}",5586.3,0.6,v2.3,2026-06-01T13:59:39.291659
2,ai,Claude Opus vs Gemini 2.5 Flash,3,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.3,10,30,"{""belief"": 0.30, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2456.8,0.6,Gemini 2.5 Flash,10,0.1,10,30,"```json
{
  ""belief"": 0.10,
  ""extraction"": 10
}
```","{""prompt"": 0, ""completion"": 0}",4726.1,0.6,v2.3,2026-06-01T13:59:46.477380
2,ai,Claude Opus vs Gemini 2.5 Flash,4,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.25,10,40,"{""belief"": 0.25, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1821.5,0.6,Gemini 2.5 Flash,10,0.05,10,40,"```json
{
  ""belief"": 0.05,
  ""extraction"": 10
}
```","{""prompt"": 0, ""completion"": 0}",5542.9,0.6,v2.3,2026-06-01T13:59:53.844440
2,ai,Claude Opus vs Gemini 2.5 Flash,5,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.2,10,50,"{""belief"": 0.20, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1744.1,0.6,Gemini 2.5 Flash,10,0.05,10,50,"```json
{
  ""belief"": 0.05,
  ""extraction"": 10
}
```","{""prompt"": 0, ""completion"": 0}",2883.7,0.6,v2.3,2026-06-01T13:59:58.476056
2,ai,Claude Opus vs Gemini 2.5 Flash,6,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,60,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1726.1,0.6,Gemini 2.5 Flash,10,0.05,10,60,"```json
{
  ""belief"": 0.05,
  ""extraction"": 10
}
```","{""prompt"": 0, ""completion"": 0}",895.7,0.6,v2.3,2026-06-01T14:00:01.100727
2,ai,Claude Opus vs Gemini 2.5 Flash,7,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,70,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2460.2,0.6,Gemini 2.5 Flash,10,0.05,10,70,"```json
{
  ""belief"": 0.05,
  ""extraction"": 10
}
```","{""prompt"": 0, ""completion"": 0}",1883.7,0.6,v2.3,2026-06-01T14:00:05.447875
2,ai,Claude Opus vs Gemini 2.5 Flash,8,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,80,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1153.1,0.6,Gemini 2.5 Flash,10,0.05,10,80,"```json
{
  ""belief"": 0.05,
  ""extraction"": 10
}
```","{""prompt"": 0, ""completion"": 0}",641.6,0.6,v2.3,2026-06-01T14:00:07.245736
2,ai,Claude Opus vs Gemini 2.5 Flash,9,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,90,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1814.3,0.6,Gemini 2.5 Flash,10,0.05,10,90,"```json
{
  ""belief"": 0.05,
  ""extraction"": 10
}
```","{""prompt"": 0, ""completion"": 0}",844.4,0.6,v2.3,2026-06-01T14:00:09.907260
2,ai,Claude Opus vs Gemini 2.5 Flash,10,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,100,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2250.1,0.6,Gemini 2.5 Flash,10,0.05,10,100,"```json
{
  ""belief"": 0.05,
  ""extraction"": 10
}
```","{""prompt"": 0, ""completion"": 0}",816.7,0.6,v2.3,2026-06-01T14:00:12.976627
2,ai,Claude Opus vs Gemini 2.5 Flash,11,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,110,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1328.9,0.6,Gemini 2.5 Flash,10,0.05,10,110,"```json
{
  ""belief"": 0.05,
  ""extraction"": 10
}
```","{""prompt"": 0, ""completion"": 0}",2782.7,0.6,v2.3,2026-06-01T14:00:17.091234
